order_id,date,region,category,units,unit_price,revenue
1,2024-04-05,North,Electronics,48,141.14,6774.72
2,2024-01-03,North,Electronics,38,213.85,8126.3
3,2024-09-07,South,Clothing,33,303.0,9999.0
4,2024-01-25,West,Clothing,29,296.69,8604.01
5,2024-04-25,South,Toys,22,142.55,3136.1
6,2024-06-28,East,Electronics,6,193.06,1158.36
7,2024-09-04,East,Food,3,366.22,1098.66
8,2024-11-20,West,Electronics,36,150.12,5404.32
9,2024-11-08,East,Clothing,46,39.43,1813.78
10,2024-07-09,East,Electronics,15,433.91,6508.65
11,2024-04-22,West,Food,11,188.24,2070.64
12,2024-09-24,East,Electronics,39,319.31,12453.09
13,2024-11-23,South,Clothing,30,192.83,5784.9
14,2024-04-27,South,Food,50,389.12,19456.0
15,2024-04-19,North,Food,26,137.53,3575.78
16,2024-11-15,East,Clothing,42,252.12,10589.04
17,2024-09-18,South,Food,9,127.08,1143.72
18,2024-04-05,East,Toys,38,202.7,7702.6
19,2024-02-05,West,Electronics,49,28.32,1387.68
20,2024-07-20,South,Toys,39,36.45,1421.55
21,2024-01-22,West,Food,36,431.09,15519.24
22,2024-02-10,North,Food,50,322.28,16114.0
23,2024-12-24,West,Clothing,30,6.61,198.3
24,2024-11-10,East,Clothing,33,456.75,15072.75
25,2024-09-25,South,Clothing,24,382.44,9178.56
26,2024-06-27,North,Food,32,14.64,468.48
27,2024-10-03,East,Clothing,4,124.23,496.92
28,2024-09-25,North,Toys,5,489.1,2445.5
29,2024-09-06,South,Clothing,43,240.26,10331.18
30,2024-12-23,East,Toys,14,464.81,6507.34
31,2024-11-12,South,Food,26,497.6,12937.6
32,2024-02-11,West,Toys,8,127.71,1021.68
33,2024-02-23,North,Clothing,38,114.01,4332.38
34,2024-06-03,North,Clothing,5,453.18,2265.9
35,2024-09-05,South,Food,43,245.28,10547.04
36,2024-04-04,West,Clothing,31,404.71,12546.01
37,2024-08-28,North,Toys,23,214.67,4937.41
38,2024-06-26,North,Electronics,4,204.3,817.2
39,2024-08-05,North,Clothing,13,99.15,1288.95
40,2024-02-15,West,Clothing,18,234.0,4212.0
41,2024-01-03,North,Electronics,42,499.64,20984.88
42,2024-04-28,South,Clothing,27,245.39,6625.53
43,2024-07-09,West,Electronics,11,192.59,2118.49
44,2024-12-26,West,Food,28,349.81,9794.68
45,2024-01-19,West,Clothing,13,151.87,1974.31
46,2024-08-17,North,Food,4,29.82,119.28
47,2024-03-03,South,Electronics,33,44.66,1473.78
48,2024-10-08,North,Clothing,26,64.34,1672.84
